customer_state,avg_delivery_days
SP,8.76135656379617
PR,11.991582227413275
MG,12.010258342914689
DF,12.967568108974358
SC,14.959297453377397
RS,15.300276192406853
RJ,15.310052815555375
GO,15.606338535456764
MS,15.618319018465684
ES,15.789307110368513
TO,17.65806260982698
MT,18.05575601172561
PE,18.448322994408407
RN,19.27815620604782
BA,19.335465824489262
RO,19.37203651310776
PI,19.45709826291628
PB,20.426767609606706
AC,21.035712962962965
CE,21.26657863492891
SE,21.519788280818133
MA,21.572976474120566
PA,23.77291691136168
AL,24.543855361974064
AM,26.42599090038314
AP,27.185067716970703
RR,29.387546014001806
